Name,Platforms,Country,Language,Handle,Contact_Value,Source_Link,Est_Conversion_Rate,Category,Tier,Notes
Sneha Amit,Instagram,India,Telugu,@snehaamit_gaming318,Low ($428),https://platform.com/snehaamit_gaming318,5.36%,Gaming,Micro,Mock Data - Ready for Outreach
Tom Plays,Instagram,USA,English,@tomplays_gaming951,Low ($501),https://platform.com/tomplays_gaming951,5.32%,Gaming,Micro,Mock Data - Ready for Outreach
RahulTech,YouTube/Instagram,India,Hindi/English,@rahultech_tech967,Low ($613),https://platform.com/rahultech_tech967,5.15%,Tech,Micro,Mock Data - Ready for Outreach
PlaysTech,YouTube/Instagram,UK,English,@playstech_tech17,Low ($857),https://platform.com/playstech_tech17,5.44%,Tech,Micro,Mock Data - Ready for Outreach
ArjunGaming,YouTube,India,Tamil,@arjungaming_gaming93,Low ($276),https://platform.com/arjungaming_gaming93,4.21%,Gaming,Micro,Mock Data - Ready for Outreach
TechTech,Instagram,India,Tamil,@techtech_tech227,Low ($530),https://platform.com/techtech_tech227,5.37%,Tech,Micro,Mock Data - Ready for Outreach
AmitTech,YouTube,India,Tamil,@amittech_tech385,Medium ($4k),https://platform.com/amittech_tech385,3.87%,Tech,Mid,Mock Data - Ready for Outreach
SnehaTech,Instagram,India,Tamil,@snehatech_tech49,Low ($804),https://platform.com/snehatech_tech49,4.57%,Tech,Micro,Mock Data - Ready for Outreach
Rohan Nisha,YouTube,India,Hindi/English,@rohannisha_gaming646,Medium ($1k),https://platform.com/rohannisha_gaming646,3.55%,Gaming,Mid,Mock Data - Ready for Outreach
AnnaProfessional,Twitch,UK,English,@annaprofessional_professional571,Low ($358),https://platform.com/annaprofessional_professional571,4.29%,Professional,Micro,Mock Data - Ready for Outreach
Anjali Tech,Twitter/X,India,Hindi/English,@anjalitech_tech883,Low ($650),https://platform.com/anjalitech_tech883,5.34%,Tech,Micro,Mock Data - Ready for Outreach
VikramGaming,Twitch,India,English,@vikramgaming_gaming454,Low ($287),https://platform.com/vikramgaming_gaming454,4.32%,Gaming,Micro,Mock Data - Ready for Outreach
Anjali Tech,Instagram,India,English,@anjalitech_tech429,Medium ($2k),https://platform.com/anjalitech_tech429,4.15%,Tech,Mid,Mock Data - Ready for Outreach
Rahul Anjali,Instagram,India,Marathi,@rahulanjali_professional877,Low ($858),https://platform.com/rahulanjali_professional877,4.05%,Professional,Micro,Mock Data - Ready for Outreach
VikramGaming,YouTube/Instagram,India,English,@vikramgaming_gaming93,Low ($104),https://platform.com/vikramgaming_gaming93,5.47%,Gaming,Micro,Mock Data - Ready for Outreach
JessicaGaming,YouTube/Instagram,Australia,English,@jessicagaming_gaming760,Medium ($1k),https://platform.com/jessicagaming_gaming760,2.72%,Gaming,Mid,Mock Data - Ready for Outreach
AnnaTech,Instagram,Canada,English,@annatech_tech208,Low ($497),https://platform.com/annatech_tech208,5.1%,Tech,Micro,Mock Data - Ready for Outreach
Tech Tech,YouTube,Germany,English,@techtech_tech777,Low ($228),https://platform.com/techtech_tech777,4.8%,Tech,Micro,Mock Data - Ready for Outreach
Mike David,YouTube/Instagram,Germany,English,@mikedavid_gaming637,Low ($295),https://platform.com/mikedavid_gaming637,5.0%,Gaming,Micro,Mock Data - Ready for Outreach
GamerProfessional,YouTube/Instagram,India,Telugu,@gamerprofessional_professional947,Low ($758),https://platform.com/gamerprofessional_professional947,5.01%,Professional,Micro,Mock Data - Ready for Outreach
AnjaliGaming,Twitch,India,Hindi,@anjaligaming_gaming162,Low ($582),https://platform.com/anjaligaming_gaming162,4.56%,Gaming,Micro,Mock Data - Ready for Outreach
SarahGaming,YouTube,UK,English,@sarahgaming_gaming76,Medium ($4k),https://platform.com/sarahgaming_gaming76,3.5%,Gaming,Mid,Mock Data - Ready for Outreach
Zone Zone,Twitch,India,Telugu,@zonezone_tech761,Low ($883),https://platform.com/zonezone_tech761,4.73%,Tech,Micro,Mock Data - Ready for Outreach
Vikram Anjali,YouTube,India,Hindi,@vikramanjali_tech969,Low ($517),https://platform.com/vikramanjali_tech969,4.77%,Tech,Micro,Mock Data - Ready for Outreach
Zone Official,YouTube,India,Hindi/English,@zoneofficial_tech914,Low ($688),https://platform.com/zoneofficial_tech914,5.34%,Tech,Micro,Mock Data - Ready for Outreach
TechGaming,Twitch,India,Marathi,@techgaming_gaming333,Low ($863),https://platform.com/techgaming_gaming333,5.07%,Gaming,Micro,Mock Data - Ready for Outreach
RahulProfessional,Twitch,India,Telugu,@rahulprofessional_professional600,Low ($446),https://platform.com/rahulprofessional_professional600,4.2%,Professional,Micro,Mock Data - Ready for Outreach
NishaTech,Twitter/X,India,Hindi,@nishatech_tech878,Low ($303),https://platform.com/nishatech_tech878,5.61%,Tech,Micro,Mock Data - Ready for Outreach
Chris Gaming,Instagram,Australia,English,@chrisgaming_gaming229,Low ($728),https://platform.com/chrisgaming_gaming229,4.27%,Gaming,Micro,Mock Data - Ready for Outreach
HubTech,Twitter/X,UK,English,@hubtech_tech207,Low ($478),https://platform.com/hubtech_tech207,5.25%,Tech,Micro,Mock Data - Ready for Outreach
TechGaming,Twitch,India,Hindi,@techgaming_gaming269,Low ($190),https://platform.com/techgaming_gaming269,5.02%,Gaming,Micro,Mock Data - Ready for Outreach
AnnaTech,Instagram,Australia,English,@annatech_tech789,Low ($484),https://platform.com/annatech_tech789,4.8%,Tech,Micro,Mock Data - Ready for Outreach
RahulTech,YouTube/Instagram,India,Tamil,@rahultech_tech887,Low ($320),https://platform.com/rahultech_tech887,5.09%,Tech,Micro,Mock Data - Ready for Outreach
ZoneTech,Twitch,India,Hindi,@zonetech_tech931,Low ($494),https://platform.com/zonetech_tech931,4.84%,Tech,Micro,Mock Data - Ready for Outreach
GamerTech,YouTube,India,Tamil,@gamertech_tech610,Medium ($3k),https://platform.com/gamertech_tech610,4.49%,Tech,Mid,Mock Data - Ready for Outreach
AnnaTech,YouTube/Instagram,Germany,English,@annatech_tech57,Low ($401),https://platform.com/annatech_tech57,5.07%,Tech,Micro,Mock Data - Ready for Outreach
NishaTech,Twitter/X,India,English,@nishatech_tech907,Low ($781),https://platform.com/nishatech_tech907,5.19%,Tech,Micro,Mock Data - Ready for Outreach
Anjali Zone,Twitch,India,Marathi,@anjalizone_gaming654,Low ($368),https://platform.com/anjalizone_gaming654,4.36%,Gaming,Micro,Mock Data - Ready for Outreach
Official World,YouTube/Instagram,India,English,@officialworld_gaming451,Low ($846),https://platform.com/officialworld_gaming451,4.55%,Gaming,Micro,Mock Data - Ready for Outreach
PlaysTech,YouTube,Germany,English,@playstech_tech635,Low ($192),https://platform.com/playstech_tech635,4.84%,Tech,Micro,Mock Data - Ready for Outreach
VikramProfessional,YouTube,India,Marathi,@vikramprofessional_professional129,Medium ($1k),https://platform.com/vikramprofessional_professional129,3.2%,Professional,Mid,Mock Data - Ready for Outreach
GamerTech,YouTube/Instagram,India,Marathi,@gamertech_tech952,Low ($896),https://platform.com/gamertech_tech952,4.59%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,Twitter/X,Germany,English,@techtech_tech503,Low ($495),https://platform.com/techtech_tech503,5.84%,Tech,Micro,Mock Data - Ready for Outreach
Priya Anjali,YouTube,India,Telugu,@priyaanjali_gaming95,Low ($833),https://platform.com/priyaanjali_gaming95,5.33%,Gaming,Micro,Mock Data - Ready for Outreach
KaranGaming,Instagram,India,Marathi,@karangaming_gaming431,Low ($448),https://platform.com/karangaming_gaming431,4.91%,Gaming,Micro,Mock Data - Ready for Outreach
KaranTech,Twitch,India,English,@karantech_tech422,Low ($732),https://platform.com/karantech_tech422,5.46%,Tech,Micro,Mock Data - Ready for Outreach
AlexTech,YouTube,Germany,English,@alextech_tech863,Low ($795),https://platform.com/alextech_tech863,5.64%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,Twitch,India,English,@techtech_tech648,Medium ($1k),https://platform.com/techtech_tech648,3.2%,Tech,Mid,Mock Data - Ready for Outreach
Sneha Tech,Twitter/X,India,Marathi,@snehatech_professional560,Medium ($2k),https://platform.com/snehatech_professional560,3.82%,Professional,Mid,Mock Data - Ready for Outreach
ZoneGaming,Instagram,India,Marathi,@zonegaming_gaming929,Low ($258),https://platform.com/zonegaming_gaming929,4.87%,Gaming,Micro,Mock Data - Ready for Outreach
KaranProfessional,YouTube,India,Hindi,@karanprofessional_professional959,Low ($524),https://platform.com/karanprofessional_professional959,4.04%,Professional,Micro,Mock Data - Ready for Outreach
GamingGaming,Twitter/X,Australia,English,@gaminggaming_gaming721,Low ($200),https://platform.com/gaminggaming_gaming721,5.18%,Gaming,Micro,Mock Data - Ready for Outreach
AmitTech,Twitch,India,Tamil,@amittech_tech102,Low ($150),https://platform.com/amittech_tech102,5.18%,Tech,Micro,Mock Data - Ready for Outreach
Plays Hub,YouTube,Australia,English,@playshub_tech255,Low ($797),https://platform.com/playshub_tech255,5.45%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Anjali,YouTube/Instagram,India,Hindi,@rahulanjali_tech445,Low ($657),https://platform.com/rahulanjali_tech445,5.48%,Tech,Micro,Mock Data - Ready for Outreach
GamerGaming,YouTube/Instagram,India,Tamil,@gamergaming_gaming131,Low ($833),https://platform.com/gamergaming_gaming131,4.49%,Gaming,Micro,Mock Data - Ready for Outreach
RohanTech,Twitch,India,Telugu,@rohantech_tech183,Low ($391),https://platform.com/rohantech_tech183,5.01%,Tech,Micro,Mock Data - Ready for Outreach
Anna Emma,Twitch,USA,English,@annaemma_tech798,Low ($335),https://platform.com/annaemma_tech798,5.71%,Tech,Micro,Mock Data - Ready for Outreach
World Zone,Twitter/X,India,Hindi/English,@worldzone_gaming456,Low ($858),https://platform.com/worldzone_gaming456,5.39%,Gaming,Micro,Mock Data - Ready for Outreach
PlaysProfessional,YouTube,Germany,English,@playsprofessional_professional145,Low ($630),https://platform.com/playsprofessional_professional145,4.72%,Professional,Micro,Mock Data - Ready for Outreach
PriyaTech,Twitter/X,India,Tamil,@priyatech_tech644,Low ($133),https://platform.com/priyatech_tech644,4.83%,Tech,Micro,Mock Data - Ready for Outreach
Chris Chris,Twitch,Canada,English,@chrischris_tech589,Low ($190),https://platform.com/chrischris_tech589,5.5%,Tech,Micro,Mock Data - Ready for Outreach
Nisha Sneha,Instagram,India,Tamil,@nishasneha_tech985,Low ($367),https://platform.com/nishasneha_tech985,4.55%,Tech,Micro,Mock Data - Ready for Outreach
Tech Rahul,YouTube,India,Telugu,@techrahul_professional380,Low ($420),https://platform.com/techrahul_professional380,4.81%,Professional,Micro,Mock Data - Ready for Outreach
Ryan Emma,YouTube/Instagram,Canada,English,@ryanemma_tech494,Low ($754),https://platform.com/ryanemma_tech494,4.65%,Tech,Micro,Mock Data - Ready for Outreach
GamerTech,YouTube,India,Tamil,@gamertech_tech540,Medium ($2k),https://platform.com/gamertech_tech540,4.09%,Tech,Mid,Mock Data - Ready for Outreach
Zone Nisha,Twitter/X,India,Telugu,@zonenisha_professional711,Low ($512),https://platform.com/zonenisha_professional711,4.21%,Professional,Micro,Mock Data - Ready for Outreach
Sneha Anjali,Twitch,India,English,@snehaanjali_professional784,Low ($895),https://platform.com/snehaanjali_professional784,4.94%,Professional,Micro,Mock Data - Ready for Outreach
Gamer Rahul,Twitter/X,India,Hindi/English,@gamerrahul_professional421,Medium ($2k),https://platform.com/gamerrahul_professional421,3.11%,Professional,Mid,Mock Data - Ready for Outreach
TVGaming,YouTube,UK,English,@tvgaming_gaming510,Low ($456),https://platform.com/tvgaming_gaming510,4.38%,Gaming,Micro,Mock Data - Ready for Outreach
Tom Plays,YouTube/Instagram,Germany,English,@tomplays_gaming136,Low ($369),https://platform.com/tomplays_gaming136,4.83%,Gaming,Micro,Mock Data - Ready for Outreach
Nisha World,Twitter/X,India,Hindi,@nishaworld_tech837,Low ($849),https://platform.com/nishaworld_tech837,5.97%,Tech,Micro,Mock Data - Ready for Outreach
World Gamer,Twitter/X,India,Hindi/English,@worldgamer_professional770,Low ($252),https://platform.com/worldgamer_professional770,4.11%,Professional,Micro,Mock Data - Ready for Outreach
ZoneTech,Twitch,India,Hindi,@zonetech_tech756,Medium ($5k),https://platform.com/zonetech_tech756,3.78%,Tech,Mid,Mock Data - Ready for Outreach
Rahul Anjali,YouTube,India,Marathi,@rahulanjali_gaming564,Low ($408),https://platform.com/rahulanjali_gaming564,4.13%,Gaming,Micro,Mock Data - Ready for Outreach
EmmaTech,Twitter/X,UK,English,@emmatech_tech526,Low ($726),https://platform.com/emmatech_tech526,5.46%,Tech,Micro,Mock Data - Ready for Outreach
AnjaliGaming,YouTube/Instagram,India,Hindi/English,@anjaligaming_gaming485,Low ($351),https://platform.com/anjaligaming_gaming485,4.56%,Gaming,Micro,Mock Data - Ready for Outreach
TechProfessional,Twitch,India,Telugu,@techprofessional_professional699,Low ($664),https://platform.com/techprofessional_professional699,4.33%,Professional,Micro,Mock Data - Ready for Outreach
David Mike,Twitter/X,UK,English,@davidmike_gaming675,Medium ($1k),https://platform.com/davidmike_gaming675,3.37%,Gaming,Mid,Mock Data - Ready for Outreach
GamerTech,Twitter/X,India,Hindi/English,@gamertech_tech52,Low ($448),https://platform.com/gamertech_tech52,4.84%,Tech,Micro,Mock Data - Ready for Outreach
EmmaTech,YouTube/Instagram,Canada,English,@emmatech_tech554,Low ($730),https://platform.com/emmatech_tech554,4.69%,Tech,Micro,Mock Data - Ready for Outreach
Arjun Sneha,Instagram,India,English,@arjunsneha_gaming377,Low ($668),https://platform.com/arjunsneha_gaming377,5.1%,Gaming,Micro,Mock Data - Ready for Outreach
VikramProfessional,Twitch,India,Hindi,@vikramprofessional_professional288,Low ($636),https://platform.com/vikramprofessional_professional288,5.32%,Professional,Micro,Mock Data - Ready for Outreach
KaranProfessional,Twitter/X,India,English,@karanprofessional_professional791,Low ($415),https://platform.com/karanprofessional_professional791,5.34%,Professional,Micro,Mock Data - Ready for Outreach
David Jessica,Twitter/X,USA,English,@davidjessica_gaming755,Medium ($2k),https://platform.com/davidjessica_gaming755,2.69%,Gaming,Mid,Mock Data - Ready for Outreach
AnjaliGaming,YouTube/Instagram,India,Telugu,@anjaligaming_gaming212,Low ($794),https://platform.com/anjaligaming_gaming212,5.24%,Gaming,Micro,Mock Data - Ready for Outreach
Rohan Sneha,Instagram,India,Tamil,@rohansneha_professional465,Low ($721),https://platform.com/rohansneha_professional465,5.27%,Professional,Micro,Mock Data - Ready for Outreach
Amit Gamer,Twitch,India,Marathi,@amitgamer_professional930,Low ($869),https://platform.com/amitgamer_professional930,4.05%,Professional,Micro,Mock Data - Ready for Outreach
Nisha Zone,Twitter/X,India,Tamil,@nishazone_tech614,Low ($636),https://platform.com/nishazone_tech614,5.88%,Tech,Micro,Mock Data - Ready for Outreach
OfficialProfessional,Instagram,India,Marathi,@officialprofessional_professional259,Low ($258),https://platform.com/officialprofessional_professional259,4.9%,Professional,Micro,Mock Data - Ready for Outreach
PlaysGaming,Instagram,Australia,English,@playsgaming_gaming622,Low ($652),https://platform.com/playsgaming_gaming622,4.65%,Gaming,Micro,Mock Data - Ready for Outreach
RohanGaming,Twitch,India,Tamil,@rohangaming_gaming29,Low ($424),https://platform.com/rohangaming_gaming29,4.46%,Gaming,Micro,Mock Data - Ready for Outreach
WorldTech,YouTube,India,English,@worldtech_tech643,Low ($597),https://platform.com/worldtech_tech643,4.76%,Tech,Micro,Mock Data - Ready for Outreach
ChrisTech,Twitter/X,Australia,English,@christech_tech448,Medium ($2k),https://platform.com/christech_tech448,3.93%,Tech,Mid,Mock Data - Ready for Outreach
Nisha Sneha,Instagram,India,Marathi,@nishasneha_gaming931,Low ($685),https://platform.com/nishasneha_gaming931,4.76%,Gaming,Micro,Mock Data - Ready for Outreach
Plays Sarah,Twitter/X,Canada,English,@playssarah_professional659,Low ($383),https://platform.com/playssarah_professional659,4.0%,Professional,Micro,Mock Data - Ready for Outreach
PriyaGaming,Twitch,India,Marathi,@priyagaming_gaming835,Low ($650),https://platform.com/priyagaming_gaming835,5.38%,Gaming,Micro,Mock Data - Ready for Outreach
Amit Tech,YouTube/Instagram,India,Telugu,@amittech_gaming404,Low ($133),https://platform.com/amittech_gaming404,5.01%,Gaming,Micro,Mock Data - Ready for Outreach
NishaProfessional,YouTube/Instagram,India,Telugu,@nishaprofessional_professional509,Low ($562),https://platform.com/nishaprofessional_professional509,5.15%,Professional,Micro,Mock Data - Ready for Outreach
Sarah Mike,Twitter/X,UK,English,@sarahmike_tech960,Low ($209),https://platform.com/sarahmike_tech960,5.47%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Nisha,YouTube/Instagram,India,Tamil,@rahulnisha_gaming629,Low ($492),https://platform.com/rahulnisha_gaming629,4.9%,Gaming,Micro,Mock Data - Ready for Outreach
DavidTech,Twitter/X,Germany,English,@davidtech_tech147,Low ($295),https://platform.com/davidtech_tech147,5.09%,Tech,Micro,Mock Data - Ready for Outreach
WorldTech,Twitch,India,Hindi,@worldtech_tech207,Low ($217),https://platform.com/worldtech_tech207,5.23%,Tech,Micro,Mock Data - Ready for Outreach
Tech Zone,YouTube,India,English,@techzone_tech607,Low ($268),https://platform.com/techzone_tech607,5.43%,Tech,Micro,Mock Data - Ready for Outreach
Official Official,Twitter/X,India,Marathi,@officialofficial_gaming73,Low ($561),https://platform.com/officialofficial_gaming73,4.19%,Gaming,Micro,Mock Data - Ready for Outreach
PlaysProfessional,YouTube/Instagram,UK,English,@playsprofessional_professional533,Low ($612),https://platform.com/playsprofessional_professional533,5.11%,Professional,Micro,Mock Data - Ready for Outreach
RahulTech,Instagram,India,Hindi/English,@rahultech_tech797,Low ($565),https://platform.com/rahultech_tech797,5.28%,Tech,Micro,Mock Data - Ready for Outreach
AlexTech,YouTube,USA,English,@alextech_tech670,Low ($895),https://platform.com/alextech_tech670,5.98%,Tech,Micro,Mock Data - Ready for Outreach
Jessica Jessica,YouTube/Instagram,Australia,English,@jessicajessica_gaming93,Low ($254),https://platform.com/jessicajessica_gaming93,4.54%,Gaming,Micro,Mock Data - Ready for Outreach
VikramProfessional,YouTube/Instagram,India,Hindi/English,@vikramprofessional_professional630,Medium ($4k),https://platform.com/vikramprofessional_professional630,3.64%,Professional,Mid,Mock Data - Ready for Outreach
Sarah Gaming,Instagram,Australia,English,@sarahgaming_tech998,Low ($197),https://platform.com/sarahgaming_tech998,5.27%,Tech,Micro,Mock Data - Ready for Outreach
Tech Tech,Twitter/X,India,English,@techtech_gaming73,Low ($246),https://platform.com/techtech_gaming73,5.08%,Gaming,Micro,Mock Data - Ready for Outreach
VikramProfessional,Twitter/X,India,Hindi,@vikramprofessional_professional569,Low ($184),https://platform.com/vikramprofessional_professional569,4.99%,Professional,Micro,Mock Data - Ready for Outreach
TomProfessional,Instagram,Australia,English,@tomprofessional_professional468,Low ($626),https://platform.com/tomprofessional_professional468,4.53%,Professional,Micro,Mock Data - Ready for Outreach
ZoneGaming,Twitter/X,India,Tamil,@zonegaming_gaming321,Low ($803),https://platform.com/zonegaming_gaming321,5.25%,Gaming,Micro,Mock Data - Ready for Outreach
SnehaGaming,Twitch,India,English,@snehagaming_gaming27,Low ($528),https://platform.com/snehagaming_gaming27,4.77%,Gaming,Micro,Mock Data - Ready for Outreach
Alex Tech,YouTube,Canada,English,@alextech_professional238,Low ($485),https://platform.com/alextech_professional238,4.57%,Professional,Micro,Mock Data - Ready for Outreach
Ryan Alex,YouTube,Germany,English,@ryanalex_tech482,Low ($276),https://platform.com/ryanalex_tech482,5.84%,Tech,Micro,Mock Data - Ready for Outreach
WorldGaming,YouTube,India,Tamil,@worldgaming_gaming974,Low ($105),https://platform.com/worldgaming_gaming974,4.81%,Gaming,Micro,Mock Data - Ready for Outreach
RohanTech,Twitter/X,India,Hindi,@rohantech_tech549,Low ($424),https://platform.com/rohantech_tech549,5.3%,Tech,Micro,Mock Data - Ready for Outreach
OfficialTech,Instagram,India,Hindi,@officialtech_tech63,Low ($804),https://platform.com/officialtech_tech63,5.41%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Rahul,YouTube,India,Telugu,@rahulrahul_gaming386,Low ($488),https://platform.com/rahulrahul_gaming386,4.76%,Gaming,Micro,Mock Data - Ready for Outreach
Tech Tom,Instagram,Canada,English,@techtom_gaming795,Low ($740),https://platform.com/techtom_gaming795,5.22%,Gaming,Micro,Mock Data - Ready for Outreach
Sarah Chris,YouTube,UK,English,@sarahchris_tech624,Low ($655),https://platform.com/sarahchris_tech624,5.73%,Tech,Micro,Mock Data - Ready for Outreach
Anna TV,YouTube/Instagram,USA,English,@annatv_tech398,Low ($178),https://platform.com/annatv_tech398,5.08%,Tech,Micro,Mock Data - Ready for Outreach
David Sarah,Instagram,UK,English,@davidsarah_tech564,Low ($752),https://platform.com/davidsarah_tech564,5.81%,Tech,Micro,Mock Data - Ready for Outreach
KaranGaming,YouTube/Instagram,India,Tamil,@karangaming_gaming510,Medium ($5k),https://platform.com/karangaming_gaming510,3.6%,Gaming,Mid,Mock Data - Ready for Outreach
PlaysTech,Twitter/X,Australia,English,@playstech_tech804,Low ($376),https://platform.com/playstech_tech804,5.43%,Tech,Micro,Mock Data - Ready for Outreach
PriyaGaming,Twitter/X,India,Tamil,@priyagaming_gaming243,Low ($445),https://platform.com/priyagaming_gaming243,5.09%,Gaming,Micro,Mock Data - Ready for Outreach
Sneha Priya,Instagram,India,Tamil,@snehapriya_tech895,Low ($459),https://platform.com/snehapriya_tech895,4.66%,Tech,Micro,Mock Data - Ready for Outreach
OfficialTech,Twitch,India,Hindi,@officialtech_tech458,Low ($284),https://platform.com/officialtech_tech458,6.0%,Tech,Micro,Mock Data - Ready for Outreach
WorldGaming,Twitch,India,Marathi,@worldgaming_gaming154,Low ($795),https://platform.com/worldgaming_gaming154,5.0%,Gaming,Micro,Mock Data - Ready for Outreach
RahulGaming,YouTube/Instagram,India,Tamil,@rahulgaming_gaming82,Low ($203),https://platform.com/rahulgaming_gaming82,4.82%,Gaming,Micro,Mock Data - Ready for Outreach
RohanTech,YouTube/Instagram,India,English,@rohantech_tech510,Low ($861),https://platform.com/rohantech_tech510,5.62%,Tech,Micro,Mock Data - Ready for Outreach
Rahul Rohan,Instagram,India,Hindi/English,@rahulrohan_gaming210,Low ($444),https://platform.com/rahulrohan_gaming210,5.17%,Gaming,Micro,Mock Data - Ready for Outreach
Plays TV,Twitter/X,USA,English,@playstv_gaming116,Low ($430),https://platform.com/playstv_gaming116,4.98%,Gaming,Micro,Mock Data - Ready for Outreach
World Gamer,Instagram,India,Hindi,@worldgamer_gaming59,Low ($376),https://platform.com/worldgamer_gaming59,5.09%,Gaming,Micro,Mock Data - Ready for Outreach
Gamer Karan,Twitter/X,India,Hindi/English,@gamerkaran_gaming61,Low ($149),https://platform.com/gamerkaran_gaming61,4.04%,Gaming,Micro,Mock Data - Ready for Outreach
Anjali Priya,Instagram,India,Hindi,@anjalipriya_gaming804,Low ($138),https://platform.com/anjalipriya_gaming804,4.56%,Gaming,Micro,Mock Data - Ready for Outreach
ArjunGaming,YouTube,India,Hindi/English,@arjungaming_gaming796,Low ($510),https://platform.com/arjungaming_gaming796,4.25%,Gaming,Micro,Mock Data - Ready for Outreach
Vikram Amit,Instagram,India,Hindi/English,@vikramamit_tech715,Low ($596),https://platform.com/vikramamit_tech715,5.21%,Tech,Micro,Mock Data - Ready for Outreach
KaranGaming,Twitter/X,India,Telugu,@karangaming_gaming730,Medium ($2k),https://platform.com/karangaming_gaming730,3.75%,Gaming,Mid,Mock Data - Ready for Outreach
Sneha Anjali,Instagram,India,Marathi,@snehaanjali_tech980,Low ($530),https://platform.com/snehaanjali_tech980,5.32%,Tech,Micro,Mock Data - Ready for Outreach
Anjali Rohan,Instagram,India,Hindi,@anjalirohan_tech782,Medium ($3k),https://platform.com/anjalirohan_tech782,3.41%,Tech,Mid,Mock Data - Ready for Outreach
RohanProfessional,Twitch,India,Marathi,@rohanprofessional_professional261,Low ($391),https://platform.com/rohanprofessional_professional261,5.46%,Professional,Micro,Mock Data - Ready for Outreach
Arjun Official,YouTube,India,Marathi,@arjunofficial_tech317,Low ($396),https://platform.com/arjunofficial_tech317,5.7%,Tech,Micro,Mock Data - Ready for Outreach
PlaysGaming,Twitch,Australia,English,@playsgaming_gaming431,Medium ($2k),https://platform.com/playsgaming_gaming431,3.96%,Gaming,Mid,Mock Data - Ready for Outreach
Jessica Tech,Instagram,UK,English,@jessicatech_professional192,Low ($199),https://platform.com/jessicatech_professional192,4.95%,Professional,Micro,Mock Data - Ready for Outreach
TVTech,YouTube,USA,English,@tvtech_tech259,Low ($626),https://platform.com/tvtech_tech259,5.22%,Tech,Micro,Mock Data - Ready for Outreach
VikramGaming,Twitch,India,Hindi/English,@vikramgaming_gaming287,Low ($728),https://platform.com/vikramgaming_gaming287,4.79%,Gaming,Micro,Mock Data - Ready for Outreach
Gaming Mike,Twitter/X,Australia,English,@gamingmike_tech10,Medium ($3k),https://platform.com/gamingmike_tech10,3.14%,Tech,Mid,Mock Data - Ready for Outreach
Alex David,YouTube/Instagram,Australia,English,@alexdavid_tech98,Low ($830),https://platform.com/alexdavid_tech98,5.71%,Tech,Micro,Mock Data - Ready for Outreach
Tech Nisha,YouTube/Instagram,India,Tamil,@technisha_gaming333,Low ($254),https://platform.com/technisha_gaming333,4.11%,Gaming,Micro,Mock Data - Ready for Outreach
NishaTech,YouTube,India,Hindi/English,@nishatech_tech822,Low ($380),https://platform.com/nishatech_tech822,4.73%,Tech,Micro,Mock Data - Ready for Outreach
OfficialTech,YouTube/Instagram,India,English,@officialtech_tech650,Low ($416),https://platform.com/officialtech_tech650,4.51%,Tech,Micro,Mock Data - Ready for Outreach
Priya Rohan,YouTube,India,Hindi,@priyarohan_gaming373,Low ($701),https://platform.com/priyarohan_gaming373,4.06%,Gaming,Micro,Mock Data - Ready for Outreach
RyanGaming,YouTube,Germany,English,@ryangaming_gaming890,Medium ($2k),https://platform.com/ryangaming_gaming890,3.59%,Gaming,Mid,Mock Data - Ready for Outreach
Rahul Rahul,Twitch,India,Tamil,@rahulrahul_gaming720,Low ($322),https://platform.com/rahulrahul_gaming720,4.24%,Gaming,Micro,Mock Data - Ready for Outreach
KaranGaming,Twitter/X,India,Marathi,@karangaming_gaming427,Low ($438),https://platform.com/karangaming_gaming427,5.26%,Gaming,Micro,Mock Data - Ready for Outreach
GamerGaming,Twitch,India,Hindi/English,@gamergaming_gaming860,Medium ($4k),https://platform.com/gamergaming_gaming860,3.29%,Gaming,Mid,Mock Data - Ready for Outreach
World Anjali,Twitch,India,Hindi,@worldanjali_professional697,Low ($698),https://platform.com/worldanjali_professional697,5.32%,Professional,Micro,Mock Data - Ready for Outreach
NishaProfessional,YouTube,India,Tamil,@nishaprofessional_professional648,Medium ($5k),https://platform.com/nishaprofessional_professional648,3.04%,Professional,Mid,Mock Data - Ready for Outreach
Official Official,Twitter/X,India,Marathi,@officialofficial_tech83,Low ($315),https://platform.com/officialofficial_tech83,5.09%,Tech,Micro,Mock Data - Ready for Outreach
AmitGaming,YouTube/Instagram,India,Tamil,@amitgaming_gaming66,Low ($698),https://platform.com/amitgaming_gaming66,4.13%,Gaming,Micro,Mock Data - Ready for Outreach
JessicaProfessional,YouTube/Instagram,Australia,English,@jessicaprofessional_professional36,Low ($132),https://platform.com/jessicaprofessional_professional36,5.09%,Professional,Micro,Mock Data - Ready for Outreach
GamingTech,Twitter/X,USA,English,@gamingtech_tech568,Medium ($3k),https://platform.com/gamingtech_tech568,4.01%,Tech,Mid,Mock Data - Ready for Outreach
TV Ryan,Twitter/X,Germany,English,@tvryan_gaming933,Low ($541),https://platform.com/tvryan_gaming933,5.09%,Gaming,Micro,Mock Data - Ready for Outreach
